measurement_id,geometry_id,local_key,local0,local1,phi,theta,time,var_local0,var_local1,var_phi,var_theta,var_time
0,72057731476881409,,32.0787277,-0.0843349546,0,0,0,0.000624999986,0.00999999978,0,0,0
1,72057868915834881,,64.1097641,0.0335270949,0,0,0,0.000624999986,0.00999999978,0,0,0
2,72058006354788353,,96.2109451,0.273701429,0,0,0,0.000624999986,0.00999999978,0,0,0
3,72058143793741825,,128.2603,0.589191914,0,0,0,0.000624999986,0.00999999978,0,0,0
4,72058281232695297,,160.368729,1.53326952,0,0,0,0.000624999986,0.00999999978,0,0,0
5,72058418671648769,,192.459549,2.3801887,0,0,0,0.000624999986,0.00999999978,0,0,0
