measurement_id,geometry_id,local_key,local0,local1,phi,theta,time,var_local0,var_local1,var_phi,var_theta,var_time
0,72057731476881409,,184.125763,-6.54979229,0,0,0,0.000624999986,0.00999999978,0,0,0
1,72057731476881409,,-21.2819061,-37.8767242,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
2,72057731476881409,,23.7080231,82.1899643,0,0,0,0.000624999986,0.00999999978,0,0,0
3,72057868915834881,,-42.2191467,-76.2748718,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
4,72057868915834881,,45.5079422,165.232635,0,0,0,0.000624999986,0.00999999978,0,0,0
5,72058006354788353,,-62.9425812,-114.772453,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
6,72058143793741825,,-83.3453598,-153.307999,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
7,72058281232695297,,-103.432251,-192.095398,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
