measurement_id,geometry_id,local_key,local0,local1,phi,theta,time,var_local0,var_local1,var_phi,var_theta,var_time
0,72057731476881409,,-22.1671295,-14.8164597,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
1,72057731476881409,,-99.3050537,-117.760193,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
2,72057868915834881,,-44.2472496,-29.9107246,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
3,72058006354788353,,-66.2656174,-44.9854126,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
4,72058143793741825,,-88.3367081,-60.0731049,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
5,72058281232695297,,-110.257416,-74.9401779,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
6,72058418671648769,,-132.212189,-90.3460159,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
7,72058556110602241,,-154.084091,-105.508156,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
8,72058693549555713,,-175.917404,-120.934128,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
9,72058830988509185,,-197.718063,-136.1707,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
