measurement_id,geometry_id,local_key,local0,local1,phi,theta,time,var_local0,var_local1,var_phi,var_theta,var_time
0,72057731476881409,,-83.5951614,20.4753628,0,0,0,0.000624999986,0.00999999978,0,0,0
1,72057731476881409,,-53.3028412,-41.4679451,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
2,72057868915834881,,-167.359802,40.0764809,0,0,0,0.000624999986,0.00999999978,0,0,0
3,72057868915834881,,-106.263412,-83.7071838,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
4,72058006354788353,,-158.882385,-126.204201,-0,-0,-0,0.000624999986,0.00999999978,0,0,0
